geometry,geometry_yz
"LINESTRING Z (50282.9321145176 213608.4289737007 2.000000000000003, 50282.67287290249 213607.738149468 2.000000000000003, 50283.14099681467 213607.5624793144 2.000000000000003, 50283.40023842978 213608.2533035471 2.000000000000003)","LINESTRING (213608.4289737007 2.000000000000003, 213607.738149468 2.000000000000003, 213607.5624793144 2.000000000000003, 213608.2533035471 2.000000000000003)"
"LINESTRING Z (50281.71456439683 213605.237642527 2.000000000000003, 50282.18268830899 213605.0619723734 2.000000000000003, 50282.4419299241 213605.7527966062 2.000000000000003, 50281.97380601194 213605.9284667598 2.000000000000003)","LINESTRING (213605.237642527 2.000000000000003, 213605.0619723734 2.000000000000003, 213605.7527966062 2.000000000000003, 213605.9284667598 2.000000000000003)"
"LINESTRING Z (50291.75751471141 213610.59997945 -15.61067961849412, 50291.99083221167 213611.2217213839 -15.38932038150586, 50292.45895612384 213611.0460512303 -15.38932038150586, 50292.22563862359 213610.4243092965 -15.61067961849412)","LINESTRING (213610.59997945 -15.61067961849412, 213611.2217213839 -15.38932038150586, 213611.0460512303 -15.38932038150586, 213610.4243092965 -15.61067961849412)"
"LINESTRING Z (50291.99083221167 213611.2217213838 -15.38932038150586, 50291.75751471141 213610.59997945 -15.61067961849413, 50289.69506957843 213605.10399812 2.000000000000004, 50289.95431119354 213605.7948223528 2.000000000000002)","LINESTRING (213611.2217213838 -15.38932038150586, 213610.59997945 -15.61067961849413, 213605.10399812 2.000000000000004, 213605.7948223528 2.000000000000002)"
"LINESTRING Z (50292.45895612385 213611.0460512302 -15.38932038150586, 50291.99083221168 213611.2217213838 -15.38932038150586, 50289.95431119355 213605.7948223528 2.000000000000002, 50290.42243510571 213605.6191521992 2.000000000000002)","LINESTRING (213611.0460512302 -15.38932038150586, 213611.2217213838 -15.38932038150586, 213605.7948223528 2.000000000000002, 213605.6191521992 2.000000000000002)"
"LINESTRING Z (50292.22563862359 213610.4243092965 -15.61067961849413, 50292.45895612384 213611.0460512303 -15.38932038150586, 50290.42243510571 213605.6191521992 2.000000000000002, 50290.1631934906 213604.9283279665 2.000000000000004)","LINESTRING (213610.4243092965 -15.61067961849413, 213611.0460512303 -15.38932038150586, 213605.6191521992 2.000000000000002, 213604.9283279665 2.000000000000004)"
"LINESTRING Z (50291.7575147114 213610.59997945 -15.61067961849413, 50292.22563862357 213610.4243092965 -15.61067961849413, 50290.16319349059 213604.9283279665 2.000000000000004, 50289.69506957843 213605.10399812 2.000000000000004)","LINESTRING (213610.59997945 -15.61067961849413, 213610.4243092965 -15.61067961849413, 213604.9283279665 2.000000000000004, 213605.10399812 2.000000000000004)"
"LINESTRING Z (50290.35305847204 213611.1267646735 -15.61067961849412, 50290.5863759723 213611.7485066074 -15.38932038150586, 50291.05449988446 213611.5728364538 -15.38932038150586, 50290.82118238421 213610.95109452 -15.61067961849412)","LINESTRING (213611.1267646735 -15.61067961849412, 213611.7485066074 -15.38932038150586, 213611.5728364538 -15.38932038150586, 213610.95109452 -15.61067961849412)"
"LINESTRING Z (50290.5863759723 213611.7485066073 -15.38932038150586, 50290.35305847204 213611.1267646735 -15.61067961849413, 50288.29061333905 213605.6307833436 2.000000000000004, 50288.54985495416 213606.3216075763 2.000000000000002)","LINESTRING (213611.7485066073 -15.38932038150586, 213611.1267646735 -15.61067961849413, 213605.6307833436 2.000000000000004, 213606.3216075763 2.000000000000002)"
"LINESTRING Z (50291.05449988447 213611.5728364538 -15.38932038150586, 50290.58637597231 213611.7485066073 -15.38932038150586, 50288.54985495417 213606.3216075763 2.000000000000002, 50289.01797886634 213606.1459374227 2.000000000000002)","LINESTRING (213611.5728364538 -15.38932038150586, 213611.7485066073 -15.38932038150586, 213606.3216075763 2.000000000000002, 213606.1459374227 2.000000000000002)"
"LINESTRING Z (50290.82118238421 213610.95109452 -15.61067961849413, 50291.05449988446 213611.5728364538 -15.38932038150586, 50289.01797886634 213606.1459374228 2.000000000000002, 50288.75873725122 213605.45511319 2.000000000000004)","LINESTRING (213610.95109452 -15.61067961849413, 213611.5728364538 -15.38932038150586, 213606.1459374228 2.000000000000002, 213605.45511319 2.000000000000004)"
"LINESTRING Z (50290.35305847203 213611.1267646735 -15.61067961849413, 50290.82118238419 213610.95109452 -15.61067961849413, 50288.75873725122 213605.45511319 2.000000000000004, 50288.29061333905 213605.6307833436 2.000000000000004)","LINESTRING (213611.1267646735 -15.61067961849413, 213610.95109452 -15.61067961849413, 213605.45511319 2.000000000000004, 213605.6307833436 2.000000000000004)"
"LINESTRING Z (50288.94860223267 213611.653549897 -15.61067961849412, 50289.18191973292 213612.2752918309 -15.38932038150586, 50289.65004364509 213612.0996216773 -15.38932038150586, 50289.41672614483 213611.4778797435 -15.61067961849412)","LINESTRING (213611.653549897 -15.61067961849412, 213612.2752918309 -15.38932038150586, 213612.0996216773 -15.38932038150586, 213611.4778797435 -15.61067961849412)"
"LINESTRING Z (50289.18191973292 213612.2752918308 -15.38932038150586, 50288.94860223267 213611.653549897 -15.61067961849413, 50286.88615709968 213606.157568567 2.000000000000004, 50287.14539871478 213606.8483927997 2.000000000000002)","LINESTRING (213612.2752918308 -15.38932038150586, 213611.653549897 -15.61067961849413, 213606.157568567 2.000000000000004, 213606.8483927997 2.000000000000002)"
"LINESTRING Z (50289.6500436451 213612.0996216773 -15.38932038150586, 50289.18191973293 213612.2752918308 -15.38932038150586, 50287.14539871479 213606.8483927998 2.000000000000002, 50287.61352262696 213606.6727226462 2.000000000000002)","LINESTRING (213612.0996216773 -15.38932038150586, 213612.2752918308 -15.38932038150586, 213606.8483927998 2.000000000000002, 213606.6727226462 2.000000000000002)"
"LINESTRING Z (50289.41672614483 213611.4778797435 -15.61067961849413, 50289.65004364509 213612.0996216773 -15.38932038150586, 50287.61352262696 213606.6727226463 2.000000000000002, 50287.35428101185 213605.9818984135 2.000000000000004)","LINESTRING (213611.4778797435 -15.61067961849413, 213612.0996216773 -15.38932038150586, 213606.6727226463 2.000000000000002, 213605.9818984135 2.000000000000004)"
"LINESTRING Z (50288.94860223266 213611.653549897 -15.61067961849413, 50289.41672614483 213611.4778797435 -15.61067961849413, 50287.35428101184 213605.9818984135 2.000000000000004, 50286.88615709968 213606.157568567 2.000000000000004)","LINESTRING (213611.653549897 -15.61067961849413, 213611.4778797435 -15.61067961849413, 213605.9818984135 2.000000000000004, 213606.157568567 2.000000000000004)"
"LINESTRING Z (50287.54414599329 213612.1803351205 -15.61067961849412, 50287.77746349355 213612.8020770543 -15.38932038150586, 50288.24558740572 213612.6264069007 -15.38932038150586, 50288.01226990546 213612.0046649669 -15.61067961849412)","LINESTRING (213612.1803351205 -15.61067961849412, 213612.8020770543 -15.38932038150586, 213612.6264069007 -15.38932038150586, 213612.0046649669 -15.61067961849412)"
"LINESTRING Z (50287.77746349355 213612.8020770543 -15.38932038150586, 50287.54414599329 213612.1803351205 -15.61067961849413, 50285.4817008603 213606.6843537905 2.000000000000004, 50285.74094247542 213607.3751780232 2.000000000000002)","LINESTRING (213612.8020770543 -15.38932038150586, 213612.1803351205 -15.61067961849413, 213606.6843537905 2.000000000000004, 213607.3751780232 2.000000000000002)"
"LINESTRING Z (50288.24558740573 213612.6264069007 -15.38932038150586, 50287.77746349355 213612.8020770543 -15.38932038150586, 50285.74094247542 213607.3751780233 2.000000000000002, 50286.20906638758 213607.1995078697 2.000000000000002)","LINESTRING (213612.6264069007 -15.38932038150586, 213612.8020770543 -15.38932038150586, 213607.3751780233 2.000000000000002, 213607.1995078697 2.000000000000002)"
"LINESTRING Z (50288.01226990546 213612.0046649669 -15.61067961849413, 50288.24558740572 213612.6264069007 -15.38932038150586, 50286.20906638758 213607.1995078697 2.000000000000002, 50285.94982477248 213606.5086836369 2.000000000000004)","LINESTRING (213612.0046649669 -15.61067961849413, 213612.6264069007 -15.38932038150586, 213607.1995078697 2.000000000000002, 213606.5086836369 2.000000000000004)"
"LINESTRING Z (50287.54414599328 213612.1803351205 -15.61067961849413, 50288.01226990545 213612.0046649669 -15.61067961849413, 50285.94982477247 213606.5086836369 2.000000000000004, 50285.4817008603 213606.6843537905 2.000000000000004)","LINESTRING (213612.1803351205 -15.61067961849413, 213612.0046649669 -15.61067961849413, 213606.5086836369 2.000000000000004, 213606.6843537905 2.000000000000004)"
"LINESTRING Z (50286.13968975391 213612.707120344 -15.61067961849412, 50286.37300725417 213613.3288622778 -15.38932038150586, 50286.84113116634 213613.1531921243 -15.38932038150586, 50286.60781366609 213612.5314501904 -15.61067961849412)","LINESTRING (213612.707120344 -15.61067961849412, 213613.3288622778 -15.38932038150586, 213613.1531921243 -15.38932038150586, 213612.5314501904 -15.61067961849412)"
"LINESTRING Z (50286.37300725417 213613.3288622778 -15.38932038150586, 50286.13968975391 213612.707120344 -15.61067961849413, 50284.07724462094 213607.211139014 2.000000000000004, 50284.33648623604 213607.9019632467 2.000000000000002)","LINESTRING (213613.3288622778 -15.38932038150586, 213612.707120344 -15.61067961849413, 213607.211139014 2.000000000000004, 213607.9019632467 2.000000000000002)"
"LINESTRING Z (50286.84113116635 213613.1531921242 -15.38932038150586, 50286.37300725418 213613.3288622778 -15.38932038150586, 50284.33648623606 213607.9019632468 2.000000000000002, 50284.80461014821 213607.7262930932 2.000000000000002)","LINESTRING (213613.1531921242 -15.38932038150586, 213613.3288622778 -15.38932038150586, 213607.9019632468 2.000000000000002, 213607.7262930932 2.000000000000002)"
"LINESTRING Z (50286.60781366609 213612.5314501904 -15.61067961849413, 50286.84113116634 213613.1531921243 -15.38932038150586, 50284.80461014821 213607.7262930932 2.000000000000002, 50284.54536853311 213607.0354688605 2.000000000000004)","LINESTRING (213612.5314501904 -15.61067961849413, 213613.1531921243 -15.38932038150586, 213607.7262930932 2.000000000000002, 213607.0354688605 2.000000000000004)"
"LINESTRING Z (50286.13968975391 213612.707120344 -15.61067961849413, 50286.60781366608 213612.5314501904 -15.61067961849413, 50284.54536853309 213607.0354688605 2.000000000000004, 50284.07724462094 213607.211139014 2.000000000000004)","LINESTRING (213612.707120344 -15.61067961849413, 213612.5314501904 -15.61067961849413, 213607.0354688605 2.000000000000004, 213607.211139014 2.000000000000004)"
"LINESTRING Z (50284.73531803548 213613.234130798 -15.61067961849412, 50284.96863553574 213613.8558727318 -15.38932038150586, 50285.43675944791 213613.6802025782 -15.38932038150586, 50285.20344194765 213613.0584606444 -15.61067961849412)","LINESTRING (213613.234130798 -15.61067961849412, 213613.8558727318 -15.38932038150586, 213613.6802025782 -15.38932038150586, 213613.0584606444 -15.61067961849412)"
"LINESTRING Z (50284.96863553574 213613.8558727318 -15.38932038150586, 50284.73531803548 213613.2341307979 -15.61067961849413, 50282.67287290249 213607.738149468 2.000000000000004, 50282.9321145176 213608.4289737007 2.000000000000002)","LINESTRING (213613.8558727318 -15.38932038150586, 213613.2341307979 -15.61067961849413, 213607.738149468 2.000000000000004, 213608.4289737007 2.000000000000002)"
"LINESTRING Z (50285.43675944792 213613.6802025782 -15.38932038150586, 50284.96863553574 213613.8558727318 -15.38932038150586, 50282.93211451761 213608.4289737008 2.000000000000002, 50283.40023842978 213608.2533035471 2.000000000000002)","LINESTRING (213613.6802025782 -15.38932038150586, 213613.8558727318 -15.38932038150586, 213608.4289737008 2.000000000000002, 213608.2533035471 2.000000000000002)"
"LINESTRING Z (50285.20344194765 213613.0584606444 -15.61067961849413, 50285.43675944791 213613.6802025782 -15.38932038150586, 50283.40023842978 213608.2533035472 2.000000000000002, 50283.14099681467 213607.5624793144 2.000000000000004)","LINESTRING (213613.0584606444 -15.61067961849413, 213613.6802025782 -15.38932038150586, 213608.2533035472 2.000000000000002, 213607.5624793144 2.000000000000004)"
"LINESTRING Z (50284.73531803546 213613.234130798 -15.61067961849413, 50285.20344194764 213613.0584606444 -15.61067961849413, 50283.14099681466 213607.5624793144 2.000000000000004, 50282.67287290249 213607.738149468 2.000000000000004)","LINESTRING (213613.234130798 -15.61067961849413, 213613.0584606444 -15.61067961849413, 213607.5624793144 2.000000000000004, 213607.738149468 2.000000000000004)"
"LINESTRING Z (50270.52212226763 213614.51798521588 0, 50280.026471514866 213610.90261703698 0)","LINESTRING (213614.51798521588 0, 213610.90261703698 0)"
"LINESTRING Z (50268.46000756966 213609.09694445116 0, 50277.9643568169 213605.48157627226 0)","LINESTRING (213609.09694445116 0, 213605.48157627226 0)"
"LINESTRING Z (50283.525794918816 213610.21344933167 -8.00000000000007, 50267.44944328396 213616.32874756216 -8.00000000000007, 50264.990036384195 213609.77494683897 -8.00000000000007, 50281.06638801907 213603.65964860847 -8.00000000000007)","LINESTRING (213610.21344933167 -8.00000000000007, 213616.32874756216 -8.00000000000007, 213609.77494683897 -8.00000000000007, 213603.65964860847 -8.00000000000007)"
"LINESTRING Z (50283.525794918816 213610.21344933167 -11.5, 50281.06638801907 213603.65964860847 -11.5, 50264.990036384195 213609.77494683897 -11.5, 50267.44944328396 213616.32874756216 -11.5)","LINESTRING (213610.21344933167 -11.5, 213603.65964860847 -11.5, 213609.77494683897 -11.5, 213616.32874756216 -11.5)"
"LINESTRING Z (50267.44944328396 213616.32874756216 -8.00000000000007, 50283.525794918816 213610.21344933167 -8.00000000000007, 50283.525794918816 213610.21344933167 -11.5, 50267.44944328396 213616.32874756216 -11.5)","LINESTRING (213616.32874756216 -8.00000000000007, 213610.21344933167 -8.00000000000007, 213610.21344933167 -11.5, 213616.32874756216 -11.5)"
"LINESTRING Z (50264.990036384195 213609.77494683897 -8.00000000000007, 50267.44944328396 213616.32874756216 -8.00000000000007, 50267.44944328396 213616.32874756216 -11.5, 50264.990036384195 213609.77494683897 -11.5)","LINESTRING (213609.77494683897 -8.00000000000007, 213616.32874756216 -8.00000000000007, 213616.32874756216 -11.5, 213609.77494683897 -11.5)"
"LINESTRING Z (50281.06638801907 213603.65964860847 -8.00000000000007, 50264.990036384195 213609.77494683897 -8.00000000000007, 50264.990036384195 213609.77494683897 -11.5, 50281.06638801907 213603.65964860847 -11.5)","LINESTRING (213603.65964860847 -8.00000000000007, 213609.77494683897 -8.00000000000007, 213609.77494683897 -11.5, 213603.65964860847 -11.5)"
"LINESTRING Z (50283.525794918816 213610.21344933167 -8.00000000000007, 50281.06638801907 213603.65964860847 -8.00000000000007, 50281.06638801907 213603.65964860847 -11.5, 50283.525794918816 213610.21344933167 -11.5)","LINESTRING (213610.21344933167 -8.00000000000007, 213603.65964860847 -8.00000000000007, 213603.65964860847 -11.5, 213610.21344933167 -11.5)"
"LINESTRING Z (50277.964356816905 213605.48157627226 0, 50278.143840904675 213605.41994532736 0, 50278.326971559894 213605.37018516017 0, 50278.51296458898 213605.33250885116 0, 50278.701023541216 213605.3070777362 0, 50278.890343119296 213605.29400071496 0, 50279.08011262773 213605.29333378567 0, 50279.269519444344 213605.30507980386 0, 50279.457752500086 213605.32918847149 0, 50279.64400575209 213605.36555655158 0, 50279.82748163536 213605.41402831016 0, 50280.00739447798 213605.47439618397 0, 50280.182973865536 213605.54640166837 0, 50280.35346794015 213605.62973642498 0, 50280.518146619994 213605.72404360148 0, 50280.676304725705 213605.82891935998 0, 50280.827264999985 213605.94391460647 0, 50280.97038100777 213606.06853691366 0, 50281.10503990432 213606.20225262968 0, 50281.230665059586 213606.34448916328 0, 50281.34671852738 213606.49463743577 0, 50281.4527033489 213606.65205448927 0, 50281.5481656809 213606.8160662398 0, 50281.632696739 213606.98597036378 0, 50281.70593454825 213607.16103930568 0, 50281.76756549308 213607.34052339336 0, 50281.81732566035 213607.52365404856 0, 50281.855001969365 213607.70964707766 0, 50281.8804330844 213607.89770602997 0, 50281.8935101055 213608.08702560808 0, 50281.89417703487 213608.2767951165 0, 50281.88243101662 213608.46620193307 0, 50281.85832234898 213608.65443498877 0, 50281.82195426898 213608.84068824086 0, 50281.77348251032 213609.02416412407 0, 50281.71311463651 213609.20407696668 0, 50281.64110915205 213609.3796563543 0, 50281.5577743955 213609.55015042887 0, 50281.46346721906 213609.71482910877 0, 50281.35859146054 213609.87298721436 0, 50281.243596214044 213610.02394748866 0, 50281.11897390688 213610.16706349648 0, 50280.985258190885 213610.30172239296 0, 50280.843021657274 213610.42734754828 0, 50280.69287338476 213610.54340101607 0, 50280.53545633126 213610.64938583766 0, 50280.37144458076 213610.74484816968 0, 50280.201540456794 213610.82937922777 0, 50280.02647151487 213610.90261703698 0, 50270.522122267634 213614.51798521588 0, 50270.342638179856 213614.57961616077 0, 50270.159507524644 213614.62937632788 0, 50269.973514495556 213614.66705263697 0, 50269.78545554333 213614.69248375198 0, 50269.59613596524 213614.70556077317 0, 50269.40636645681 213614.70622770247 0, 50269.21695964019 213614.69448168427 0, 50269.02872658446 213614.67037301668 0, 50268.84247333246 213614.63400493658 0, 50268.65899744918 213614.58553317797 0, 50268.479084606566 213614.52516530408 0, 50268.30350521901 213614.45315981968 0, 50268.133011144404 213614.3698250632 0, 50267.96833246454 213614.27551788668 0, 50267.810174358834 213614.17064212819 0, 50267.65921408455 213614.05564688166 0, 50267.51609807677 213613.93102457447 0, 50267.381439180215 213613.79730885848 0, 50267.255814024946 213613.65507232497 0, 50267.13976055717 213613.50492405237 0, 50267.03377573564 213613.34750699886 0, 50266.93831340365 213613.18349524846 0, 50266.85378234555 213613.01359112439 0, 50266.780544536305 213612.83852218246 0, 50266.71891359147 213612.65903809477 0, 50266.6691534242 213612.47590743957 0, 50266.631477115174 213612.28991441036 0, 50266.60604600014 213612.10185545817 0, 50266.592968979036 213611.91253588008 0, 50266.59230204966 213611.72276637168 0, 50266.60404806793 213611.53335955506 0, 50266.628156735576 213611.34512649936 0, 50266.66452481558 213611.15887324727 0, 50266.712996574235 213610.97539736406 0, 50266.77336444804 213610.79548452137 0, 50266.84536993249 213610.61990513388 0, 50266.928704689046 213610.44941105926 0, 50267.02301186549 213610.28473237937 0, 50267.127887624 213610.12657427377 0, 50267.242882870494 213609.97561399947 0, 50267.36750517767 213609.83249799168 0, 50267.50122089367 213609.69783909508 0, 50267.64345742726 213609.57221393977 0, 50267.79360569979 213609.45616047207 0, 50267.951022753296 213609.35017565047 0, 50268.115034503775 213609.25471331849 0, 50268.284938627745 213609.17018226036 0, 50268.460007569665 213609.09694445116 0)","LINESTRING (213605.48157627226 0, 213605.41994532736 0, 213605.37018516017 0, 213605.33250885116 0, 213605.3070777362 0, 213605.29400071496 0, 213605.29333378567 0, 213605.30507980386 0, 213605.32918847149 0, 213605.36555655158 0, 213605.41402831016 0, 213605.47439618397 0, 213605.54640166837 0, 213605.62973642498 0, 213605.72404360148 0, 213605.82891935998 0, 213605.94391460647 0, 213606.06853691366 0, 213606.20225262968 0, 213606.34448916328 0, 213606.49463743577 0, 213606.65205448927 0, 213606.8160662398 0, 213606.98597036378 0, 213607.16103930568 0, 213607.34052339336 0, 213607.52365404856 0, 213607.70964707766 0, 213607.89770602997 0, 213608.08702560808 0, 213608.2767951165 0, 213608.46620193307 0, 213608.65443498877 0, 213608.84068824086 0, 213609.02416412407 0, 213609.20407696668 0, 213609.3796563543 0, 213609.55015042887 0, 213609.71482910877 0, 213609.87298721436 0, 213610.02394748866 0, 213610.16706349648 0, 213610.30172239296 0, 213610.42734754828 0, 213610.54340101607 0, 213610.64938583766 0, 213610.74484816968 0, 213610.82937922777 0, 213610.90261703698 0, 213614.51798521588 0, 213614.57961616077 0, 213614.62937632788 0, 213614.66705263697 0, 213614.69248375198 0, 213614.70556077317 0, 213614.70622770247 0, 213614.69448168427 0, 213614.67037301668 0, 213614.63400493658 0, 213614.58553317797 0, 213614.52516530408 0, 213614.45315981968 0, 213614.3698250632 0, 213614.27551788668 0, 213614.17064212819 0, 213614.05564688166 0, 213613.93102457447 0, 213613.79730885848 0, 213613.65507232497 0, 213613.50492405237 0, 213613.34750699886 0, 213613.18349524846 0, 213613.01359112439 0, 213612.83852218246 0, 213612.65903809477 0, 213612.47590743957 0, 213612.28991441036 0, 213612.10185545817 0, 213611.91253588008 0, 213611.72276637168 0, 213611.53335955506 0, 213611.34512649936 0, 213611.15887324727 0, 213610.97539736406 0, 213610.79548452137 0, 213610.61990513388 0, 213610.44941105926 0, 213610.28473237937 0, 213610.12657427377 0, 213609.97561399947 0, 213609.83249799168 0, 213609.69783909508 0, 213609.57221393977 0, 213609.45616047207 0, 213609.35017565047 0, 213609.25471331849 0, 213609.17018226036 0, 213609.09694445116 0)"
